matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,error,num_iterations,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,CSRCV_NUM_PACKET_VALS,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape,matrix_lnQ_error,matrix_mlare,matrix_gmare,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_time,compression_spmv_loops,tolerance
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,47.877123,2.36582e-07,17172,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,356.062406,0.664246,16384,2.9365e-08,3.04505e-05,3.81497e-14,2.99872e-11,1.49936e-11,4.605e-17,-15.9746,1.06035e-16,31.45,3.83,7.9934,23.8006,3.9742,0.1414,67.4977,1e-12
/users/panastas/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,64,1157456,1157456,48538952,137.955095,7.90778e-09,36185,559.899570,0.000000,0.000000,CSR_CV_STREAM,1157456,1157456,48538952,401.303922,0.716743,16384,8.79206e-14,2.9047e-11,1.51274e-25,3.28074e-11,1.64037e-11,2.07913e-18,-17.3214,4.77049e-18,50.69,3.24,7.9915,23.9928,3.9980,0.1509,53.1588,1e-12
/users/panastas/Data/graphs/tamu/matrices/boneS10/boneS10.mtx,64,914898,914898,55468422,63.691075,3.39487e-05,52566,638.275776,0.000000,0.000000,CSR_CV_STREAM,914898,914898,55468422,160.553696,0.251543,16384,2.56427e-10,1.35915e-08,4.14955e-19,2.95112e-11,1.47556e-11,-2.6911e-14,-13.2079,6.1965e-14,4.65,0.15,8.0000,16.0000,3.0000,0.1041,106.1281,1e-12
/users/panastas/Data/graphs/tamu/matrices/Hook_1498/Hook_1498.mtx,64,1498023,1498023,60917445,16.177846,6.2579e-07,6380,702.859341,0.000000,0.000000,CSR_CV_STREAM,1498023,1498023,60917445,357.361547,0.508440,16384,8.8755e-10,1.01078e-07,6.16864e-18,3.21823e-11,1.60911e-11,3.48719e-17,-16.0951,8.03394e-17,20.10,2.89,7.9998,15.9988,2.9998,0.1762,102.4458,1e-12
/users/panastas/Data/graphs/tamu/matrices/Geo_1438/Geo_1438.mtx,64,1437960,1437960,63156690,8.565835,5.91738e-08,2840,728.256344,0.000000,0.000000,CSR_CV_STREAM,1437960,1437960,63156690,412.356640,0.566225,16384,5.45847e-05,0.000390649,1.28932e-08,1.83441e-11,9.17204e-12,2.54629e-17,-16.2317,5.86553e-17,21.87,4.66,8.0000,16.0000,3.0000,0.1797,84.0540,1e-12
/users/panastas/Data/graphs/tamu/matrices/Serena/Serena.mtx,64,1391349,1391349,64531701,7.381197,1.37153e-08,1979,743.814289,0.000000,0.000000,CSR_CV_STREAM,1391349,1391349,64531701,462.909587,0.622346,16384,3.82536e-05,16,2.38116e-05,9.97377e-12,4.98689e-12,-4.23445e-17,-16.0109,9.7524e-17,30.63,4.25,7.9945,22.4253,3.8025,0.1853,67.4377,1e-12
/users/panastas/Data/graphs/tamu/matrices/bone010/bone010.mtx,64,986703,986703,71666325,33.935703,5.30378e-05,20673,823.919979,0.000000,0.000000,CSR_CV_STREAM,986703,986703,71666325,207.127961,0.251393,16384,2.45863e-10,1.35915e-08,2.59469e-19,2.57634e-11,1.28817e-11,-2.95488e-14,-13.1672,6.80387e-14,1.84,0.05,7.9984,15.9998,2.9998,0.1209,90.6922,1e-12
/users/panastas/Data/graphs/tamu/matrices/audikw_1/audikw_1.mtx,64,943695,943695,77651847,55.244686,1.10504e-05,11965,892.254780,0.000000,0.000000,CSR_CV_STREAM,943695,943695,77651847,536.828356,0.601654,16384,5.09804e-08,0.00764084,2.82923e-12,3.27531e-11,1.63765e-11,-1.42924e-18,-17.4806,3.30682e-18,39.35,4.14,7.9531,23.9613,3.9893,0.2295,60.9549,1e-12
/users/panastas/Data/graphs/tamu/matrices/dielFilterV3real/dielFilterV3real.mtx,64,1102824,1102824,89306020,729.029175,4.04646e-05,100000,1026.233234,0.000000,0.000000,CSR_CV_STREAM,1102824,1102824,89306020,742.444697,0.723466,16384,2.02359e-14,1.69464e-11,1.71486e-26,3.26423e-11,1.63286e-11,-7.16956e-18,-16.7816,1.65341e-17,47.31,4.45,7.9975,23.9967,3.9993,0.2639,43.2836,1e-12
/users/panastas/Data/graphs/tamu/matrices/Flan_1565/Flan_1565.mtx,64,1564794,1564794,117406044,46.543642,1.29141e-05,17232,1349.574764,0.000000,0.000000,CSR_CV_STREAM,1564794,1564794,117406044,396.485081,0.293785,16384,3.83273e-08,7.44686e-06,2.04122e-14,3.18392e-11,1.59196e-11,-1.22996e-14,-13.5479,2.83208e-14,6.18,6.90,7.9990,15.9999,2.9999,0.2857,156.2648,1e-12
/users/panastas/Data/graphs/tamu/matrices/Cube_Coup_dt0/Cube_Coup_dt0.mtx,64,2164760,2164760,127206144,170.154024,3.35096e-05,34387,1464.016697,0.000000,0.000000,CSR_CV_STREAM,2164760,2164760,127206144,598.618670,0.408888,16384,2.92303e-09,6.10389e-06,7.66983e-15,1.43968e-11,7.1984e-12,-7.651e-17,-15.754,1.76183e-16,20.58,10.01,7.9991,16.0000,2.9999,0.3308,92.2012,1e-12
/users/panastas/Data/graphs/tamu/matrices/Cube_Coup_dt6/Cube_Coup_dt6.mtx,64,2164760,2164760,127206144,14.822975,5.3971e-05,2963,1464.016697,0.000000,0.000000,CSR_CV_STREAM,2164760,2164760,127206144,599.786307,0.409685,16384,2.92311e-09,6.10389e-06,7.66983e-15,1.42009e-11,7.10048e-12,2.78786e-18,-17.194,6.39679e-18,19.66,10.04,7.9991,16.0000,2.9999,0.3294,92.1723,1e-12
/users/panastas/Data/graphs/tamu/matrices/Bump_2911/Bump_2911.mtx,64,2911419,2911419,127729899,106.222344,2.01344e-06,14278,1472.858875,0.000000,0.000000,CSR_CV_STREAM,2911419,2911419,127729899,819.401481,0.556334,16384,0.165797,110080,472.113,7.51355e-12,3.75713e-12,-1.20022e-17,-16.5583,2.76472e-17,18.37,1.36,8.0000,15.8386,2.9798,0.3401,62.9040,1e-12
/users/panastas/Data/graphs/tamu/matrices/Queen_4147/Queen_4147.mtx,64,4147110,4147110,329499284,783.786428,6.54152e-06,41375,3786.640026,0.000000,0.000000,CSR_CV_STREAM,4147110,4147110,329499284,2321.076449,0.612965,16384,0.234818,32512,442.255,4.9858e-12,2.4929e-12,-3.85768e-18,-17.0511,8.89046e-18,11.45,9.78,7.9983,19.3724,3.4213,0.8451,53.9710,1e-12
